file_year,institucion,nombre_uc,proveedor,rfc,codigo_contrato,num_contrato,titulo_contrato,ley,tipo_procedimiento,monto_original,monto_ultimo_convenio,pct_incremento,tope_legal_pct,fecha_contrato,fecha_firma_ultimo_conv,direccion_anuncio
2024,COLEGIO DE BACHILLERES,UNIDAD DE ADMINISTRACION Y FINANZAS,"MACROCARD, COMPUTACION SA DE CV",MCO070614KF1,C-2024-00080344,CB-0107/2024,ADQUISICIÓN DE INSUMOS PARA ELABORACIÓN DE CREDENCIALES ESCOLARES 2024,LAASSP,LICITACIÓN PÚBLICA,1337018.32,3547749.25,165.3,20.0,2024-06-07,2024-11-15 15:38:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/34ca346f724d48959a7f24d655037208/procedimiento
2023,CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,"DIRECCION DE ADMINISTRACION, DEPARTAMENTO DE SERVICIOS GENERALES",FEDERAL EXPRESS HOLDINGS (MEXICO) Y COMPAÑIA S EN NC DE CV,FEH940630UG2,C-2024-00138705,SG-131-2023,SERVICIO DE MENSAJERÍA Y PAQUETERÍA A NIVEL NACIONAL INTERNACIONAL,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,295800.0,591600.0,100.0,20.0,2023-07-03,2023-12-28 00:00:00,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ecf697c887434dbaaface60fa06dfde4/procedimiento
2024,CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,"DIRECCION DE ADMINISTRACION, DEPARTAMENTO DE SERVICIOS GENERALES",HECTOR GONZALEZ BARRERA,GOBH791117IS8,C-2024-00135986,SG-109-2024,SERVICIOS EN MATERIA LABORAL PARA EL CIESAS,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,322000.0,644000.0,100.0,20.0,2024-05-02,2024-12-26 00:00:00,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5fc83f072163499fb1d965ea336d90d6/procedimiento
2024,FIDEICOMISO FONDO NACIONAL DE FOMENTO EJIDAL,SUBDIRECCION ADMINISTRATIVA,TELEFONOS DE MEXICO S A B DE C V,TME840315KT6,C-2024-00066690,DAF-SA-CONS-AD-002-2024,"SERVICIOS DE TELEFONÍA LOCAL DIGITAL, LARGA DISTANCIA INTERNACIONAL Y 01-800",LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,23938.34,47876.68,100.0,20.0,2024-06-01,2024-12-31 00:00:00,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/1cbb41aa63e44d0f9ec6a56df8de6afb/procedimiento
2024,CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,"DIRECCION DE ADMINISTRACION, DEPARTAMENTO DE SERVICIOS GENERALES",RUBEN CABANILLAS MENDEZ,CAMR8507039T5,C-2024-00136775,SG-002-2024,ADQUISICIÓN Y CONSUMO DE ALIMENTOS,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,729640.0,1424480.0,95.2,20.0,2024-02-01,2024-12-26 00:00:00,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/0589456585c043b4ae08387163fcae0b/procedimiento
2024,INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA MANUEL VELASCO SUÁREZ,"DIRECCION DE ADMINISTRACION, SUBDIRECCION DE RECURSOS MATERIALES",COMPAÑIA VILAB SA DE CV,VIL190307SI6,C-2024-00095903,INNN-DG-DA-SRM-LPI-186-2024,"PARA LA ADQUISICIÓN DE: MEDICAMENTOS, MATERIAL DE CURACIÓN E INSUMOS MÉDICOS",LAASSP,LICITACIÓN PÚBLICA,1302740.32,2082415.76,59.8,20.0,2024-06-20,2024-12-26 14:03:50,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2bfb9fa7ea4d4fe2a511877fab408282/procedimiento
2025,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",SUBDIRECCION DE RECURSOS MATERIALES,ASTRAZENECA SA DE CV,AST961231B69,C-2025-00016243,HGMGG-DA-SRM-AD100-2025,COMPRA CONSOLIDADA DE MEDICAMENTOS (PATENTES)F4 PARA LOS EJERCICIOS 2025-2026,LAASSP,"ADJUDICACIÓN DIRECTA POR PATENTES, LICENCIAS, OFERENTE ÚNICO U OBRAS DE ARTE",1320964.14,2109480.14,59.7,20.0,2025-01-31,2025-06-18 09:48:53,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/61646d753433484ba90afe7df91b1b50/procedimiento
2024,CENTRO NACIONAL DE CONTROL DEL GAS NATURAL,"UNIDAD DE ADMINISTRACION Y FINANZAS, DIRECCION EJECUTIVA DE RECURSOS MATERIALES",CENTRO DE APRENDIZAJE Y ACOMPAÑAMIENTO PSICOEDUCATIVO SC,CAA131017Q87,C-2024-00088719,CENAGAS/SERV/075/2024,SERVICIO INTEGRAL PARA LA IMPARTICIÓN Y CUMPLIMIENTO DEL PROGRAMA ANUAL,LAASSP,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,8316205.73,12911794.32,55.3,20.0,2024-06-27,2024-11-29 00:00:00,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/3f6f4184098143aba653a46fbdc30904/procedimiento
2024,"CENTRO DE CAPACITACIÓN CINEMATOGRÁFICA, A.C.","SUBDIRECCION DE ADMINISTRACION Y FINANZAS, DEPARTAMENTO DE SERVICIOS",ESTRATEC SA DE CV,EST850718Q51,C-2024-00064705,CCC-SAF-SR-030/2024,"CONTRATACIÓN DE LOS SERVICIOS DE ARRENDAMIENTO DE EQUIPO DE FOTOCOPIADO, ...",LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,251774.52,367488.0,46.0,20.0,2024-05-15,2024-12-24 11:15:28,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a5ce2e219bb2418ab0f83c94b64f3bb2/procedimiento
2024,"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL PUERTO CHIAPAS, S.A. DE C.V.",PUERTO CHIAPAS-GERENCIA DE ADMINISTRACION Y FINANZAS,EDENRED MEXICO SA DE CV,ASE930924SS7,C-2024-00001170,32-ASIPONA-CHIS-ADQ-2023,SERVICIO DE SUMINISTRO DE COMBUSTIBLE PARA VEHÍCULOS AUTOMOTORES,LAASSP,LICITACIÓN PÚBLICA,515420.4,717465.2,39.2,20.0,2024-01-01,2024-12-27 20:04:26,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ad666d88da7c47c5ab3030fc93adf61d/procedimiento
2024,INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,INTERNACIONAL DE MEDICINA ESPECIALIZADA SA DE CV,IME990906PH8,C-2024-00002991,S4M0009,SERVICIO SUBROGADOS DE PROCEDIMIENTOS MEDICOS URGENTES   PARA EL EJERCICIO 2024,LAASSP,LICITACIÓN PÚBLICA,2359573.36,3206312.63,35.9,20.0,2024-01-09,2024-12-02 15:05:07,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/66494cbff98a4600a09a8278ac4c3ca6/procedimiento
2024,"HOSPITAL GENERAL DE MÉXICO ""DR. EDUARDO LICEAGA""",DIRECCION DE ADMINISTRACION Y FINANZAS,FJ KIMME SA DE CV,FKI1812072Q2,C-2024-00064912,240054-2024,UTENSILIOS PARA EL SERVICIO DE ALIMENTACIÓN Y MATERIALES Y UTILES DE OFICINA,LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,145153.7,196204.53,35.2,20.0,2024-05-22,2024-12-13 11:01:52,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ad3d1bceb0b54665aa7b3b8140e2480a/procedimiento
2024,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,SUBDIRECCION DE RECURSOS MATERIALES,K-PARTNERS S A P I DE CV,KPA1903272G5,C-2024-00059533,CINVESTAV-SA-2024-84,ARRENDAMIENTO DE VEHICULOS TERRESTRES,LAASSP,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,1446172.0,1946172.0,34.6,20.0,2024-04-01,2025-01-30 12:46:26,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5d34b82a4c73449aabe9dee4d20ca164/procedimiento
2024,INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,ORTHOPBONE & SPINE SA DE CV,OAS201112K7A,C-2024-00009366,ABT-T-24-27-0406-0020,ADQUISICIÓN Y SUMINISTRO DE MATERIAL DE OSTEOSINTESIS Y ENDOPROTESIS EJERCICIO 2,LAASSP,LICITACIÓN PÚBLICA,48661166.58,62084937.95,27.6,20.0,2024-01-24,,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a5fce1afc26b4025b22c77932e487071/procedimiento
2024,"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES","CENTRO SCT SONORA, SUBDIRECCIÓN DE ADMINISTRACIÓN",SERVICIOS Y DISTRIBUCIONES AYALA SA DE CV,SDA890217GK4,C-2024-00076008,CSCT-DRM-AD-003/2024,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A VEHICULOS OFICIALES,LAASSP,LICITACIÓN PÚBLICA,204115.92,251470.81,23.2,20.0,2024-06-05,2024-12-31 01:00:00,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/d7d713f623054820b606930806cf0236/procedimiento
2023,CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,"DIRECCION DE ADMINISTRACION, DEPARTAMENTO DE SERVICIOS GENERALES",EL MUNDO ES TUYO SA DE CV,MET8908305M9,C-2024-00138573,SG-092-2023,SERVICIO DE RESERVACIÓN Y EXPEDICIÓN DE PASAJES AÉREOS NACIONALES E INTERNACIONA,LAASSP,"ADJUDICACIÓN DIRECTA POR ADJUDICACIÓN A PROVEEDOR CON CONTRATO VIGENTE, BAJO LAS MISMAS CONDICIONES",1704275.0,2054275.0,20.5,20.0,2023-04-01,2023-12-04 00:00:00,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a8ef78627e7949ff8e26911f261493e4/procedimiento
2024,"LICONSA, S.A. DE C.V.","GERENCIA ESTATAL OAXACA, DEPARTAMENTO DE ADQUISICIONES",COMBUSTIBLES MALDONADO OLVERA SA DE CV,CMO960119RN7,C-2024-00096949,LICONSA/CADQ/001611/2024,ADQUISICIÓN DIESEL INDUSTRIAL BAJO EN AZUFRE,LAASSP,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR LICITACIONES PÚBLICAS DESIERTAS,639360.0,769386.24,20.3,20.0,2024-07-10,2025-01-08 09:40:24,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/1883abe243ea4da1868b932d845ca2d0/procedimiento
